Date,Average Temperature,Total Precipitation,Humidity (rh),Pressure (in),Wind Speed (mph),Max Temp
19970503,53.75,0,70.83333333333333,29.94374999999999,10.458333333333334,59
19970504,47.11538461538461,0,78.76923076923077,27.793461538461546,11.461538461538462,55
19970505,51.958333333333336,0,90.95833333333333,30.04833333333333,8,55
19970506,51,0,76.875,28.869583333333335,6.458333333333333,55
19970507,50.916666666666664,0,81.25,30.289999999999996,9.416666666666666,57
19970508,57.708333333333336,0,63.625,30.117916666666673,3.2916666666666665,72
19970509,58.291666666666664,0,66.75,30.18083333333334,5.625,64
19970510,56.666666666666664,0,73.58333333333333,30.253333333333334,12.541666666666666,63
19970511,59.375,0,72.83333333333333,30.085416666666674,10.375,70
19970512,60.2,0,54.04,28.712800000000005,4.28,70
19970513,63.541666666666664,0,66.45833333333333,29.90750000000001,7.5,72
19970514,61.30769230769231,0,58.76923076923077,27.613461538461532,4.076923076923077,75
19970515,65.375,0,65.45833333333333,30.035,8.458333333333334,75
19970516,63.291666666666664,0,68.66666666666667,30.095416666666654,7.708333333333333,72
19970517,57.25,0,70.54166666666667,30.11708333333334,15.916666666666666,63
19970518,58.77272727272727,0,63.90909090909091,30.105909090909098,7.454545454545454,68
19970519,55.833333333333336,0,67.16666666666667,29.802916666666665,10.5,61
19970520,50.46153846153846,0,66.88461538461539,27.544230769230765,6.730769230769231,61
19970521,46.75,0,66.96428571428571,25.657500000000002,6.071428571428571,61
19970522,54.541666666666664,0,79.70833333333333,29.953333333333333,6.875,61
19970523,51.72,0,76.36,28.74040000000001,2,57
19970524,55.208333333333336,0,79.45833333333333,29.993749999999995,3.5416666666666665,61
19970525,57.958333333333336,0,76.45833333333333,30.01875,7.375,64
19970526,57.666666666666664,0,77.33333333333333,30.031666666666663,6.083333333333333,63
19970527,52.36,0,70.64,26.4892,4.2,64
19970528,54.333333333333336,0,79.4074074074074,26.67703703703705,5.592592592592593,64
19970529,48.61290322580645,0,66.3225806451613,23.19419354838711,6.354838709677419,70
19970530,53.107142857142854,0,73.64285714285714,25.623928571428575,8.035714285714286,66
19970531,45.121212121212125,0,60.90909090909091,21.684545454545457,8.727272727272727,66
19970601,45.766666666666666,0,63.46666666666667,23.987999999999996,8.166666666666666,63
19970602,54.76923076923077,0,73.23076923076923,27.634999999999998,7.115384615384615,68
19970603,40.628571428571426,0,58.74285714285714,20.374,5.4,63
19970604,47.833333333333336,0,61.9,23.919000000000004,7.2,66
19970605,58.791666666666664,0,68.29166666666667,30.043333333333322,6.625,64
19970606,51.42857142857143,0,55.285714285714285,25.68857142857143,5.142857142857143,68
19970607,55,0,61.46153846153846,27.663461538461547,5.538461538461538,64
19970608,58.875,0,72.91666666666667,30.077916666666663,8.458333333333334,64
19970609,59.333333333333336,0,74.95833333333333,30.01416666666667,5.25,66
19970610,63.708333333333336,0,64.45833333333333,29.887500000000017,3.4583333333333335,73
19970611,52.370370370370374,0,63.96296296296296,26.5674074074074,7.2592592592592595,63
19970612,54.11538461538461,0,78.96153846153847,27.6776923076923,3.3461538461538463,64
19970613,62.36363636363637,0,73.77272727272727,30.035909090909094,5.909090909090909,70
19970614,62.791666666666664,0,76.125,29.979999999999986,4.833333333333333,70
19970615,64,0,74.16666666666667,29.955416666666675,10.416666666666666,70
19970616,56.46153846153846,0,81.07692307692308,27.64461538461538,9.884615384615385,64
19970617,49,0,64.12903225806451,23.066451612903226,11.129032258064516,68
19970618,60.958333333333336,0,67.625,30.01125,12.041666666666666,66
19970619,48.44827586206897,0,61.172413793103445,24.901379310344836,11.413793103448276,64
19970620,49.25,0,64.10714285714286,25.720357142857146,5.428571428571429,64
19970621,39.94117647058823,0,61.11764705882353,21.034411764705876,4.352941176470588,61
19970622,53.26923076923077,0,73.8076923076923,27.623076923076926,7.923076923076923,63
19970623,44.774193548387096,0,69.45161290322581,23.309677419354838,5.935483870967742,63
19970624,50.607142857142854,0,68.32142857142857,25.873214285714287,6.678571428571429,64
19970625,49.51724137931034,0,66.65517241379311,24.789999999999996,4.379310344827586,66
19970626,56.24,0,73.04,28.793999999999997,7.64,64
19970627,50.535714285714285,0,69.28571428571429,25.72535714285713,7,66
19970628,59.625,0,79.79166666666667,29.962083333333336,9.75,66
19970629,50.42857142857143,0,74.10714285714286,25.656785714285707,9.464285714285714,63
19970630,59.75,0,81.79166666666667,29.912916666666664,4.25,66
19970701,49.03448275862069,0,71.6896551724138,24.92068965517241,9.827586206896552,63
19970702,59.56,0,70.48,28.945599999999995,4.76,68
19970703,64.41666666666667,0,74.45833333333333,30.10083333333333,6.291666666666667,72
19970704,67.5,0,73.29166666666667,29.92041666666667,5.958333333333333,75
19970705,51.44827586206897,0,71.75862068965517,24.762413793103452,9.310344827586206,66
19970706,51.266666666666666,0,65.93333333333334,24.01166666666666,6.433333333333334,72
19970707,53.7037037037037,0,73.5925925925926,26.717037037037024,10.25925925925926,64
19970708,44.42424242424242,0,71.0909090909091,21.730606060606053,11.181818181818182,63
19970709,47.857142857142854,0,68.04761904761905,24.166190476190472,5.380952380952381,66
19970710,45.483870967741936,0,64.12903225806451,23.195161290322588,5.903225806451613,64
19970711,61.583333333333336,0,78.83333333333333,30.053750000000008,6.666666666666667,68
19970712,63,0,81.70833333333333,30.117499999999996,5.166666666666667,68
19970713,65.29166666666667,0,77.08333333333333,30.067916666666672,5.208333333333333,72
19970714,67.58333333333333,0,78.54166666666667,30.017500000000002,4.625,75
19970715,62.08,0,77.6,28.9016,6.84,72
19970716,63.958333333333336,0,78.33333333333333,30.058333333333334,9.791666666666666,70
19970717,66.33333333333333,0,77.16666666666667,29.95583333333334,8.958333333333334,73
19970718,63.375,0,79.79166666666667,30.115416666666675,5.5,68
19970719,66.375,0,80.45833333333333,30.029583333333324,3.75,73
19970720,70.04166666666667,0,74,29.898333333333344,4.875,81
19970721,53,0,68,25.514814814814812,9.518518518518519,64
19970722,63.958333333333336,0,72.70833333333333,30.06625000000001,5.583333333333333,72
19970723,64.75,0,81.5,30.1125,7.541666666666667,70
19970724,63.833333333333336,0,78.875,30.10458333333335,9.083333333333334,70
19970725,63.375,0,77.875,30.11250000000001,8.458333333333334,68
19970726,63.333333333333336,0,78.16666666666667,30.075416666666666,5.541666666666667,70
19970727,66.5,0,74.625,30.01541666666667,4.375,73
19970728,67.16666666666667,0,73.16666666666667,29.995833333333348,4.625,75
19970729,65.375,0,70.58333333333333,29.992916666666673,8.625,73
19970730,64.29166666666667,0,68.54166666666667,30.047499999999996,8.25,73
19970731,64.54166666666667,0,65.54166666666667,30.109166666666667,6.541666666666667,73
19970801,65.04166666666667,0,72.54166666666667,30.107083333333332,3.4583333333333335,72
19970802,67.20833333333333,0,70.33333333333333,30.064166666666654,7.625,75
19970803,68.95833333333333,0,72.54166666666667,30.027083333333334,3.375,79
19970804,70.625,0,70,30.133749999999996,5.75,81
19970805,69.04166666666667,0,77.91666666666667,30.21625,5.541666666666667,75
19970806,55.10344827586207,0,73.3103448275862,24.92517241379311,6.517241379310345,72
19970807,65.72727272727273,0,79.54545454545455,30.08636363636364,9.909090909090908,72
19970808,64.95833333333333,0,73.83333333333333,30.012500000000003,7.541666666666667,70
19970809,67.875,0,68.20833333333333,29.982916666666657,7.625,77
19970810,70.16666666666667,0,62.5,29.937499999999996,4.333333333333333,81
19970811,70.625,0,63.5,29.959583333333338,3.25,79
19970812,70.36363636363636,0,72.5909090909091,29.991363636363644,5.2727272727272725,75
19970813,69.91666666666667,0,78.5,29.987916666666674,8.083333333333334,75
19970814,69.54166666666667,0,73.95833333333333,29.89291666666666,7.416666666666667,77
19970815,67.25,0,75.70833333333333,29.853333333333328,10.666666666666666,75
19970816,70.08695652173913,0,69.26086956521739,29.896956521739135,2.4347826086956523,77
19970817,70.78260869565217,0,66.6086956521739,29.870869565217394,2.608695652173913,81
19970818,65.66666666666667,0,72.20833333333333,29.964583333333334,8.958333333333334,72
19970819,65.125,0,78.625,29.971666666666664,4.208333333333333,73
19970820,54.714285714285715,0,77.85714285714286,25.62642857142857,4.821428571428571,72
19970821,56.55555555555556,0,79.51851851851852,26.769629629629623,4.814814814814815,70
19970822,64.20833333333333,0,84.91666666666667,30.057083333333335,4.333333333333333,70
19970823,57.888888888888886,0,70.96296296296296,26.64333333333334,6.666666666666667,72
19970824,54.76923076923077,0,80,26.475,7.076923076923077,64
19970825,60,0,79.96153846153847,27.62884615384615,6.269230769230769,70
19970826,43.64705882352941,0,65.41176470588235,21.052058823529414,6.294117647058823,64
19970827,55.55555555555556,0,73.51851851851852,26.63777777777779,6.407407407407407,70
19970828,57.11538461538461,0,81.73076923076923,27.661153846153848,2.4615384615384617,66
19970829,61.08,0,80.8,28.78120000000001,2.16,70
19970830,61.56,0,85.12,28.729200000000002,2.72,70
19970831,61.4,0,77.12,28.678800000000003,3.2,70
19970901,60.52173913043478,0,76.47826086956522,27.30304347826087,3.217391304347826,72
19970902,69.33333333333333,0,68.66666666666667,30.081666666666663,4.083333333333333,73
19970903,64.54166666666667,0,79.16666666666667,30.097500000000007,3.875,72
19970904,64.625,0,71.125,30.105,5.625,73
19970905,48.46666666666667,0,67.8,23.99533333333333,5.4,68
19970906,59.041666666666664,0,81.83333333333333,30.05249999999999,4.833333333333333,68
19970907,62.25,0,80.04166666666667,30.05541666666665,6.166666666666667,68
19970908,62.666666666666664,0,80.08333333333333,30.039166666666674,6.583333333333333,70
19970909,63.708333333333336,0,83.16666666666667,29.89166666666668,3.9583333333333335,72
19970910,64.08333333333333,0,86.41666666666667,29.866666666666674,5.625,72
19970911,51.37931034482759,0,69.17241379310344,24.6748275862069,7.379310344827586,66
19970912,54.96153846153846,0,71.8076923076923,27.54846153846153,6.5,66
19970913,59.083333333333336,0,83.95833333333333,29.79166666666666,8.583333333333334,64
19970914,48.46666666666667,0,70.86666666666666,23.72333333333334,11.4,66
19970915,50.42857142857143,0,72.42857142857143,25.515000000000008,7.785714285714286,63
19970916,55.25,0,95.5,29.76,12.166666666666666,59
19970917,45.63333333333333,0,72.73333333333333,23.616999999999997,13.166666666666666,63
19970918,54.56,0,83.24,28.726,5.84,61
19970919,55.5,0,87.33333333333333,30.193333333333346,3.5,63
19970920,56.875,0,87.25,30.133749999999992,2.1666666666666665,64
19970921,58.125,0,91.375,29.966250000000002,2.5833333333333335,66
19970922,62.5,0,80.625,29.95250000000001,2.2916666666666665,77
19970923,60.791666666666664,0,87.16666666666667,29.989166666666666,3.625,68
19970924,61.625,0,82.29166666666667,29.758333333333322,3.7083333333333335,70
19970925,58.19230769230769,0,78.15384615384616,27.35423076923077,6.076923076923077,66
19970926,41.35294117647059,0,59.470588235294116,20.998823529411766,12.558823529411764,63
19970927,49.964285714285715,0,71.32142857142857,25.836428571428577,8.678571428571429,64
19970928,45.935483870967744,0,70.87096774193549,23.274838709677415,8.35483870967742,68
19970929,57.458333333333336,0,94.75,29.81708333333333,3.9583333333333335,61
19970930,54.88461538461539,0,81.57692307692308,27.41038461538462,8.153846153846153,64
19971001,42.75,0,68.8125,22.122499999999995,10.09375,63
19971002,41.39393939393939,0,55.45454545454545,21.528787878787877,10.454545454545455,63
19971003,34.421052631578945,0,59.05263157894737,18.700789473684207,12.605263157894736,59
19971004,40.24242424242424,0,65.51515151515152,21.532424242424245,10.424242424242424,57
19971005,51.84,0,76.44,28.821199999999997,10.8,59
19971006,49.333333333333336,0,90.125,29.98041666666666,7.708333333333333,55
19971007,49.916666666666664,0,80.41666666666667,29.841666666666665,5.375,54
19971008,38.46666666666667,0,70.23333333333333,23.602999999999998,15.3,50
19971009,44.07142857142857,0,68.25,25.239642857142858,17.821428571428573,55
19971010,42,0,73.6896551724138,24.605172413793106,14.310344827586206,52
19971011,48.916666666666664,0,81.5,29.974999999999998,16.5,52
19971012,41.74074074074074,0,81.11111111111111,26.913703703703707,6.703703703703703,50
19971013,40.29032258064516,0,73.16129032258064,23.47290322580644,6.129032258064516,55
19971014,41.225806451612904,0,73.35483870967742,23.47387096774194,6.064516129032258,59
19971015,45,0,80.6896551724138,25.0203448275862,4.931034482758621,61
19971016,46.766666666666666,0,75.7,24.062333333333335,8.2,64
19971017,51.24,0,84.96,28.9044,13.92,55
19971018,47.458333333333336,0,95.83333333333333,30.240833333333345,9.041666666666666,52
19971019,47.208333333333336,0,91.125,30.265416666666656,9.791666666666666,52
19971020,42.48,0,89.4,29.081599999999998,2.76,52
19971021,31.28125,0,69.34375,21.718437499999993,1.75,50
19971022,40.55172413793103,0,79.27586206896552,24.935862068965523,5.793103448275862,52
19971023,44.11538461538461,0,86.96153846153847,27.800384615384612,7.615384615384615,52
19971024,39.592592592592595,0,82.29629629629629,26.93962962962963,2.740740740740741,50
19971025,45.38461538461539,0,79.96153846153847,27.90730769230769,4.038461538461538,54
19971026,44.07142857142857,0,87.92857142857143,26.724642857142857,6.285714285714286,50
19971027,47.12,0,90.2,28.85,2.64,52
19971028,37.54838709677419,0,75.25806451612904,23.038387096774194,10.258064516129032,52
19971029,46.96296296296296,0,81.29629629629629,26.296666666666656,12.37037037037037,57
19971030,51.56,0,82.84,28.338800000000006,10.68,59
19971031,38.03448275862069,0,63.827586206896555,21.765172413793106,5.482758620689655,59
19971101,50.166666666666664,0,91.375,30.391666666666662,4.833333333333333,57
19971102,47,0,78.8076923076923,27.81230769230769,5.730769230769231,55
19971103,42.51724137931034,0,79.79310344827586,24.746551724137934,7.896551724137931,57
19971104,46.42307692307692,0,84.57692307692308,27.779615384615372,4.076923076923077,57
19971105,36.77142857142857,0,63.08571428571429,20.52228571428571,4.714285714285714,55
19971106,32,0,58.35,17.941500000000005,6.2,57
19971107,37.75,0,72.9375,22.5478125,5.8125,54
19971108,37.53333333333333,0,73.9,24.172333333333324,3.433333333333333,50
19971109,40.32,0,81.88,27.5816,4.12,54
19971110,30.90909090909091,0,70.45454545454545,21.674242424242422,5.545454545454546,48
19971111,28.612903225806452,0,76.51612903225806,23.067096774193548,5.129032258064516,46
19971112,18.77777777777778,0,61.416666666666664,19.040277777777774,3.1944444444444446,45
19971113,32.357142857142854,0,78.92857142857143,25.501071428571425,4.607142857142857,46
19971114,39.666666666666664,0,94.08333333333333,29.93291666666666,4.25,46
19971115,27.5,0,81.92857142857143,25.72892857142858,3.7857142857142856,46
19971116,35.310344827586206,0,71.24137931034483,24.794137931034477,4.413793103448276,50
19971117,36.333333333333336,0,76.2,24.00533333333334,8.1,48
19971118,43,0,81.57692307692308,27.695384615384622,5.846153846153846,54
19971119,38.689655172413794,0,67.72413793103448,24.516551724137926,7.931034482758621,52
19971120,37.03225806451613,0,69.2258064516129,23.181935483870966,7.645161290322581,55
19971121,40.8,0,83.12,27.761199999999995,5.36,48
19971122,37.46153846153846,0,79.6923076923077,26.377307692307685,5.576923076923077,46
19971123,38.0625,0,64.84375,22.124374999999997,14.53125,54
19971124,38.75,0,69.78571428571429,25.58785714285714,10.821428571428571,50
19971125,36.67857142857143,0,76.78571428571429,25.687142857142856,8.321428571428571,46
19971126,44,0,84.04166666666667,29.622500000000013,4.625,46
19971127,37.166666666666664,0,71.9,23.719,15.133333333333333,52
19971128,39.36666666666667,0,65.76666666666667,23.830333333333336,13.533333333333333,54
19971129,34.03125,0,68.4375,22.264062499999998,12,48
19971130,44.96,0,86,28.740000000000006,9.76,50
19971201,42.75,0,90.33333333333333,30.199999999999992,3.9166666666666665,48
19971202,37.708333333333336,0,90.33333333333333,29.957499999999992,2.1666666666666665,45
19971203,38.416666666666664,0,84.25,29.99666666666667,1.7083333333333333,46
19971204,41.083333333333336,0,84.95833333333333,30.07749999999999,3.7083333333333335,48
19971205,33.88,0,88.96,28.704800000000006,4.4,46
19971206,23.96969696969697,0,71.24242424242425,21.6,2.121212121212121,41
19971207,34.2962962962963,0,82.70370370370371,26.172592592592597,5.888888888888889,45
19971208,43.375,0,78.33333333333333,29.85083333333333,5.416666666666667,48
19971209,39.666666666666664,0,86.20833333333333,30.331666666666663,8.208333333333334,43
19971210,38.44444444444444,0,83.77777777777777,27.16814814814816,6.62962962962963,46
19971211,41.375,0,88.29166666666667,30.513750000000016,6.458333333333333,48
19971212,38.083333333333336,0,82.45833333333333,30.358333333333324,4.458333333333333,45
19971213,38.958333333333336,0,77.20833333333333,30.015000000000004,7,46
19971214,40.03703703703704,0,65,26.4337037037037,10.444444444444445,50
19971215,33.67741935483871,0,66.03225806451613,23.108064516129037,14.290322580645162,48
19971216,36.9,0,68.83333333333333,22.685333333333336,15.7,52
19971217,35.8,0,68.2,23.925333333333338,8.1,46
19971218,35.851851851851855,0,75.5925925925926,26.92333333333334,8,43
