"","year","avg.temp","precipitation","humidity","pressure","windspd","max.temp"
"1",1956,44.6934097421203,0,88.0916905444126,30.0225787965616,7.88252148997135,66
"2",1957,47.2963470319635,0,84.7326484018265,29.9798242009132,7.42579908675799,75
"3",1958,52.72899543379,0,80.8198630136986,29.9696849315069,7.73219178082192,83
"4",1959,46.2664383561644,0,87.591095890411,30.0331917808219,6.94246575342466,64
"5",1960,45.7103825136612,0,87.8142076502732,30.0236338797814,6.19672131147541,67
"6",1961,46.4328767123288,0,89.1972602739726,29.9163835616438,7.47123287671233,69
"7",1962,46.1561643835616,0,90.0684931506849,30.0265753424658,6.68767123287671,64
"8",1963,43.9150943396226,0,89.1933962264151,30.0230660377358,6.63679245283019,61
"17",1972,24.3636363636364,0,57.7272727272727,22.1854545454545,8.72727272727273,39
"18",1973,43.8523371080561,0,67.3633655973823,26.782578135981,8.26119499497191,83
"19",1974,43.8854032671682,0,69.1312028887747,26.3692349230228,8.06540251471004,80
"20",1975,42.9541617455608,0,66.3434175613572,26.5524172696606,7.03093323042695,81
"21",1976,41.8532224491404,0,67.1460711747173,25.9564415972322,6.07970523554009,77
"22",1977,44.3384067213014,0,70.0026725284533,26.7819975678115,7.06305337381592,86
"23",1978,43.881549875906,0,69.8784534778768,26.3733238666769,7.5273045242781,84
"24",1979,44.0374751107831,0,70.8104540207633,26.7515803420665,7.32655615934437,81
"25",1980,43.78874875347,0,72.0632793614697,26.6047844358836,7.01478422570512,77
"26",1981,44.5350255712962,0,70.8749092328574,26.3813354428506,7.22998092991042,84
"27",1982,44.4268240732731,0,70.4144090820319,26.8246818574023,7.65943550285167,86
"28",1983,45.8731021263399,0,71.4223595601148,26.9937313473455,6.9299345800701,86
"29",1984,44.1918327733039,0,69.8153000284797,26.5954903667355,6.73275508936391,81
"30",1985,43.045449796131,0,68.9405543629841,26.7195628073382,6.36478539852538,82
"31",1986,45.0628884789145,0,71.1703555253054,26.585871173798,6.39334664656931,81
"32",1987,47.3482134679143,0,72.2341747355831,27.4751061299782,7.20895654899295,84
"33",1988,44.7290050836424,0,68.8032475068618,26.4042697183847,7.17408676500343,88
"34",1989,43.9196343181248,0,67.912685890106,26.0294808702023,5.94136721956883,79
"35",1990,44.2325296498037,0,67.8179808419206,26.0153144001979,6.75996436707365,88
"36",1991,44.4218677813623,0,70.5579051841962,26.283441225464,6.50798750626628,82
"37",1992,46.5331539718394,0,70.9398499988279,26.654967251091,6.61484553903038,83
"38",1993,44.8797681794428,0,72.0051162651502,27.0001117393326,6.78034142554708,84
"39",1994,46.2689101635532,0,70.6624752275844,26.755558029049,8.07458649573837,84
"40",1995,47.3412595591751,0,70.4283468115197,27.2599527107928,7.83797946930938,82
"41",1996,47.2239954712876,0,69.5697938690773,28.5424059923319,7.47815748771587,81
"42",1997,48.3179769378435,0,76.7140233206631,28.1788969565305,7.2930995089882,81
"43",1998,47.972922411613,0,73.4075431974404,27.283242609988,8.34921185393813,88
"44",1999,45.4920743736583,0,71.987492515615,26.8758100193191,9.01995220468298,79
"45",2000,45.8393208808528,0,73.0895278314293,27.6412793877363,7.83333643059142,81
"46",2001,46.8482521356878,0,72.8312121543448,27.8403201050033,8.28187391639438,79
"47",2002,47.0970348335028,0,72.1884055416237,27.9038102183631,8.29904898011462,86
"48",2003,47.5262188243929,0,72.5813381894432,27.571137518502,8.44065730653205,82
"49",2004,46.0999802500357,0,68.123695917978,26.0919459482891,8.16216457298277,86
"50",2005,48.320851178764,0,68.9397194534357,25.7487142975503,8.04509485460067,84
"51",2006,51.1780100113272,0,67.717903859067,26.3095125915236,9.04121692041469,84
"52",2007,49.2567792970091,0,67.2846129893483,26.3187659170912,8.65312423414425,81
"53",2008,49.4334742743299,0,66.712277970437,26.5924372548063,8.41620703096434,84
"54",2009,50.1639094565202,0,64.4888257401048,26.9713916228079,8.21900211196461,93
"55",2010,51.5979744979372,0,68.012363222815,26.7920172873389,8.3024660989621,84
"56",2011,49.7055973243849,0,69.9849700353605,26.7677932912476,8.39025834396621,79
"57",2012,50.4172700259043,0,65.1592163960625,26.2381595227196,8.59404996626194,82
"58",2013,50.5731024234174,0,74.1146998230994,27.8673382158391,7.80209099666651,81
"59",2014,51.8309390601347,0,81.335758707659,29.99693534674,8.17823723442947,82
"60",2015,52.784921213171,0,81.6532026082344,30.0158036492128,8.34016481163325,81
"61",2016,52.1617544641333,0,81.4967171829326,29.9888686947403,8.91039246521187,79
"62",2017,50.4794785530714,0,80.3606308784873,29.9982362920552,8.28839636690268,84
"63",2018,51.4932738227559,0,82.5401434926972,30.0252551152948,8.41852427271397,84
"64",2019,50.8856977589026,0,79.7089270384415,30.0144425507786,8.013963327845,84
"65",2020,51.2244270928249,0,81.4122119557236,30.0299143190578,8.51107965029943,84
"66",2021,50.8299954362445,0,80.1168078867215,29.7843046004025,8.90854816577903,90
"67",2022,50.520958884412,0,85.5040763426435,30.04344514613,8.23889740147954,86
"68",2023,41.8453638999841,0,90.5710850905772,30.0251716246394,8.49962541567143,57
